filename, number_of_jobs, number_of_machines, algorithm, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, execution_time.ms, result
50_20_08, 50, 20, ii, 1, random, i, 578136, tei, 3391, 545110
50_20_08, 50, 20, ii, 1, rz, t, 578136, tei, 3, 547398
50_20_08, 50, 20, ii, 1, rz, e, 578136, tei, 262, 541600
50_20_08, 50, 20, ii, 1, rz, i, 578136, tei, 610, 542420
50_20_09, 50, 20, ii, 0, random, t, 498080, tei, 56, 767854
50_20_09, 50, 20, ii, 0, random, e, 498080, tei, 4513, 583874
50_20_09, 50, 20, ii, 0, random, i, 498080, tei, 12426, 581647
50_20_09, 50, 20, ii, 0, rz, t, 498080, tei, 4, 594311
50_20_09, 50, 20, ii, 0, rz, e, 498080, tei, 126, 594311
50_20_09, 50, 20, ii, 0, rz, i, 498080, tei, 901, 581338
50_20_09, 50, 20, ii, 1, random, t, 498080, tei, 76, 767015
50_20_09, 50, 20, ii, 1, random, e, 498080, tei, 1882, 591674
50_20_09, 50, 20, ii, 1, random, i, 498080, tei, 2772, 594761
50_20_09, 50, 20, ii, 1, rz, t, 498080, tei, 6, 594311
50_20_09, 50, 20, ii, 1, rz, e, 498080, tei, 172, 594311
50_20_09, 50, 20, ii, 1, rz, i, 498080, tei, 962, 587769
50_20_10, 50, 20, ii, 0, random, t, 429546, tei, 39, 799567
50_20_10, 50, 20, ii, 0, random, e, 429546, tei, 3318, 610547
50_20_10, 50, 20, ii, 0, random, i, 429546, tei, 10418, 609377
50_20_10, 50, 20, ii, 0, rz, t, 429546, tei, 10, 618765
50_20_10, 50, 20, ii, 0, rz, e, 429546, tei, 330, 613450
50_20_10, 50, 20, ii, 0, rz, i, 429546, tei, 1299, 607378
50_20_10, 50, 20, ii, 1, random, t, 429546, tei, 49, 798298
50_20_10, 50, 20, ii, 1, random, e, 429546, tei, 1658, 617461
50_20_10, 50, 20, ii, 1, random, i, 429546, tei, 3752, 617058
50_20_10, 50, 20, ii, 1, rz, t, 429546, tei, 5, 619013
50_20_10, 50, 20, ii, 1, rz, e, 429546, tei, 303, 613979
50_20_10, 50, 20, ii, 1, rz, i, 429546, tei, 462, 613812
50_20_11, 50, 20, ii, 0, random, t, 819078, tei, 25, 757235
50_20_11, 50, 20, ii, 0, random, e, 819078, tei, 3732, 618900
50_20_11, 50, 20, ii, 0, random, i, 819078, tei, 9614, 613113
50_20_11, 50, 20, ii, 0, rz, t, 819078, tei, 3, 620124
50_20_11, 50, 20, ii, 0, rz, e, 819078, tei, 133, 618902
50_20_11, 50, 20, ii, 0, rz, i, 819078, tei, 747, 614085
50_20_11, 50, 20, ii, 1, random, t, 819078, tei, 44, 753438
50_20_11, 50, 20, ii, 1, random, e, 819078, tei, 1414, 624979
50_20_11, 50, 20, ii, 1, random, i, 819078, tei, 3181, 628829
50_20_11, 50, 20, ii, 1, rz, t, 819078, tei, 7, 619327
50_20_11, 50, 20, ii, 1, rz, e, 819078, tei, 232, 618171
50_20_11, 50, 20, ii, 1, rz, i, 819078, tei, 1240, 615524
50_20_12, 50, 20, ii, 0, random, t, 719324, tei, 50, 767719
